COD.ART,DESCRIPTION,BARCODE,
1000-SC,Half Moon Door Stop Satin Chrome,9340379019823,
101-SC,Cabinet Knob 25mm Satin Chrome,9340379019427,
12046-1,Basin 1200mm (Sense 120) 1TH,9340379014347,
1678-PSS,Flush Pull Polished Stainless Steel,9340379019717,
1678-SSS,Flush Pull Satin Stainless Steel,9340379019700,
1A-CP,Tubular Latch Chrome Plated,9340379019441,
1A-PB,Tubular Latch Polished Brass,9340379019458,
1A-SSS,Tubular Latch Satin Stainless Steel,9340379019434,
317-SSS,Cabinet Knob Satin Stainless Steel,9340379019410,
318-SSS,Cabinet Handle 175mm Satin Stainless Steel,9340379019403,
6002-CP,Privacy Latch Chrome Plated,9340379019472,
6002-PB,Privacy Latch Polished Brass,9340379019489,
6002-SSS,Privacy Latch Satin Stainless Steel,9340379019465,
6046-1,"Basin 600mm (Bam 60, Sense 60) 1TH",9340379014330,
7701-SC,SHADE Lever on Rose Satin Chrome,9340379019007,
7711-SC,TINE Lever on Rose Satin Chrome,9340379019014,
7721-SC,TEAL Lever on Rose Satin Chrome,9340379019021,
7731-SC,DELTA Lever on Rose Satin Chrome,9340379019038,
7789-ES-SC,Emergency Release Satin Chrome,9340379019120,
7789-ET-SC,Emergency Turn Satin Chrome,9340379019113,
7789-U-SC,Union Escutcheon Satin Chrome,9340379019106,
7789-Y-SC,Euro Escutcheon Satin Chrome,9340379019090,
8001-PRI-SSS,MODULO T Lever on Privacy Rose SSS,9340379019557,
8001-SSS,MODULO T Lever on Rose SSS,9340379019540,
8003-PRI-SSS,ARCO T Lever on Privacy Rose SSS,9340379019571,
8003-SSS,ARCO T Lever on Rose SSS,9340379019564,
8006-PRI-SSS,LINEA T Lever on Privacy Rose SSS,9340379019595,
8006-SSS,LINEA T Lever on Rose SSS,9340379019588,
8009-PRI-SSS,SINE T Lever on Privacy Rose SSS,9340379019618,
8009-SSS,SINE T Lever on Rose SSS,9340379019601,
8010-PRI-SSS,SAMOA T Lever on Privacy Rose SSS,9340379019632,
8010-SSS,SAMOA T Lever on Rose SSS,9340379019625,
8017-PRI-SSS,BAR T Lever on Privacy Rose SSS,9340379019656,
8017-SSS,BAR T Lever on Rose SSS,9340379019649,
8387-ES-SSS,Emergency Release Escutcheon Satin Stainless Steel,9340379019670,
8387-ET-SSS,Turn Snib Escutcheon Satin Stainless Steel,9340379019663,
